"optimal" "dWSurv_opt" "fixed00" "fixed01" "fixed10" "fixed11"
"123" 7.29654362389329 7.19097822503073 7.54132681574705 7.06527907394416 7.30466828554345 7.19551771065542
"124" 7.24251169749209 7.81980399225086 7.67536921392241 7.0410070984492 7.21146030676305 6.79903565126318
"125" 6.35588524726197 6.9964967865633 6.88877368297735 6.39708027047468 7.41330887050504 6.93174524956788
"126" 6.82149230298024 7.17394399968234 6.98264016012436 6.928338358431 7.88143726430784 7.06552918882574
"127" 7.03935237772064 6.243306289652 6.78778024383756 6.46002762032047 6.59826727330896 6.35216073886552
"128" 6.33416369856925 7.10086164419461 6.47846703942193 7.14163291152887 7.19675971971097 7.02910838266087
"129" 6.65671414631772 6.73156772723267 6.53062688000211 6.97683061259898 6.32693984064607 7.15232542886237
"130" 7.1834361442011 7.50497329694361 6.89536506307192 7.33573331715869 6.95555314413954 7.48890494722117
"131" 7.14410581161557 6.77656734565353 7.45157835352089 6.90848580306435 6.71571658979732 6.56547355252101
"132" 6.48504612217073 6.48376860084979 6.6267251748371 6.87110004169103 6.83590271707835 7.12419937354268
"133" 7.66482877827329 6.76530970237609 6.79684333609953 7.07959604727029 6.20254428680053 6.86667946302247
"134" 6.95864240121736 6.94288835312966 6.66274934067082 6.37110270984503 6.77920700439728 7.06740394076517
"135" 7.38418351868746 7.1995638471797 7.55376454708919 7.42955024556666 7.26553537297734 7.84972605808819
"136" 7.12433466869862 7.34032759584394 6.74517135238556 6.92860147070445 7.12241052480552 7.04523282100024
"137" 6.56203507630891 6.22283809964012 6.81827105063011 6.8100590521882 6.72073426166851 6.77944131170924
"138" 6.74628499115902 7.44794763594963 7.08240264434782 7.19274412295162 7.25423229559402 7.96197516520363
"139" 7.27337182830287 7.72710936546104 7.17839689585503 6.57568064105446 6.95283153027205 7.27272340005754
"140" 7.12055031519867 7.0542402715775 6.9253155988915 7.37875141784196 6.6900941014571 7.46915966353648
"141" 6.882281119924 7.24381931589114 7.01504017849064 7.14968371120639 7.06219719838455 7.43622243288573
"142" 7.0443293696994 6.85780493297764 6.84298630484928 7.44232956480622 7.44196042141449 7.18325434630306
"143" 6.73035359527966 6.99078306771793 6.95750950419667 7.3655751708147 7.23619138169914 7.19036229039522
"144" 7.49422446674974 7.53978069754943 6.92898926073062 7.38813269962521 6.76095508313266 6.90534863395299
"145" 7.20539016158609 7.20789484944157 6.43860961372623 6.90740770026289 7.4357947714971 6.84774649493243
"146" 7.6007721644997 6.90631517367684 7.621692095157 7.11050957792775 7.37926547086639 7.26940526860549
"147" 6.72764662410627 7.03155931598187 6.90456557479447 6.89937729695486 6.32425147873646 7.03084730881688
"148" 6.91341560427589 6.61580390588704 6.75065354655317 5.99872993056467 7.13081389911485 6.67737228722825
"149" 6.68696113073922 6.23364549416705 6.08819629371602 6.14861802831741 6.49207063537918 6.97160278236742
"150" 7.55461556361574 7.00261629966565 7.07407024487034 7.09072756113212 7.18317245931023 7.50657936250785
"151" 7.40118170066669 7.12829981092708 7.38533465286072 6.47830947175751 6.96385271274875 7.48036405215495
"152" 7.33618216279783 6.92111968952765 7.03871064531639 7.20512186753241 7.19714748451028 7.23609743962726
"153" 6.53876132476911 5.85114194960403 6.48081788921227 6.54666049761578 6.15146973858191 6.76784552158861
"154" 7.03327634329842 7.37034506853362 6.81779455493139 7.49209089624838 7.03727959565798 6.80808996817046
"155" 6.87701776504199 7.12347300868337 7.21408412696523 6.55680776463203 7.47086627389293 7.13455857284839
"156" 6.96341995870735 7.04337630507483 6.45067567118562 7.01449822477434 7.28834636395472 7.52064618899
"157" 6.61794252512265 6.50333193142898 6.70514379421178 6.79921905143427 7.19826895427548 7.06261279311222
"158" 7.44340206028034 7.29695876574436 6.54248695839946 6.82901677135752 7.10860409898617 6.82677276943636
"159" 6.8463287171046 6.83487368020278 7.24695594126095 6.32735035963468 7.18524952755369 7.30071653944846
"160" 7.97164450312939 7.29279837835102 7.33484838006798 6.91785189926165 7.58656282487767 7.10454986268057
