"optimal" "dWSurv_opt" "Huang_opt" "fixed00" "fixed01" "fixed10" "fixed11"
"54" 7.17528710609394 7.17328287356052 7.0453290237326 6.93138100511803 6.99446466860132 6.96583558319539 7.00995465994951
"55" 7.2037034601361 7.10194325163209 7.24010832084205 6.54957920480133 6.30347215527994 6.98688345891601 7.11344906981903
"56" 7.0035821622167 6.86476595422597 6.86987027450669 6.44562640536964 6.77357031348005 7.03300148650181 6.58003261215395
"57" 7.14284368386792 7.12247903907123 6.73652148722839 6.84043129131567 6.80159924760326 6.94106129787187 7.37490960773878
"58" 7.11540861907197 6.99417285821147 6.81171358616479 6.60148866717852 6.49355067598854 6.73723568714056 6.51312351883752
"59" 7.00280112187422 7.05906916866762 6.63206602993016 6.54107844882641 6.8446107107286 7.19204104977471 7.00258517107037
"60" 6.97035637301491 7.21613730696612 6.95277708023948 6.71626319065572 7.31843926001185 7.44755709101244 7.36367101578986
"61" 6.51707110684341 6.97294552773612 6.11915498825644 6.47684956554371 6.81120484763822 6.34647802881229 6.69342796365134
"62" 7.35961443730235 7.11595357177957 7.63860341462827 7.20344187140487 6.97919305579155 7.45133573403812 7.76328977715302
"63" 6.86034535252626 6.72602722305692 6.88095061447553 6.66356100552656 6.89327077258679 6.70749701737828 6.87960360685267
"64" 7.20544500878867 7.16540997862005 7.92278809701325 6.82255718063869 6.94046107089783 7.61458077785074 7.37643363781642
"65" 7.01200317146439 7.54685084504187 7.43925688052325 7.56198460603408 7.24379208789861 7.65114871351284 7.37581257943573
"66" 6.78278635486526 7.56552861859686 7.4931561371085 6.67555045974525 6.71683862134493 6.97649500512216 7.2591058455094
"67" 7.24984352474582 7.35454341575667 7.64702826304196 6.80684997253026 7.20764309505441 7.3854166868706 7.11563990208519
"68" 7.20481799940668 7.35308852196028 7.27056827517253 6.16470663069306 6.75676351110348 7.43108712363015 6.91429423037018
"69" 6.92915581600646 7.20282043675317 7.53708102636064 7.22996719354283 7.09985805210725 6.92001040941911 7.16149045754292
"70" 6.53216720231463 6.79267569487171 6.62369752315636 6.45358142025727 6.62714130252466 6.83486125327404 5.88784037413174
"71" 7.35538187794137 7.32733334926163 7.49642848770079 7.15551645679464 6.40376602110861 7.28223439876376 7.14170458361855
"72" 6.81002356238324 7.41713384926875 7.05817767430789 6.92388952448877 6.70525125973471 7.11392949448568 7.2156128412248
"73" 6.8781544053215 6.45152129520489 6.70332120597193 6.62091262443357 7.20730440380676 6.8398152864759 6.89514420829753
"74" 7.04505768905753 6.40441410914201 6.89678906324853 6.34212281711042 6.95284992955736 6.88875196898163 7.10942430047341
"75" 6.70084151134978 6.98061325375606 6.85250784171789 6.52588662118256 6.72217728254223 6.30780916928636 6.09180951086259
"76" 6.07593419382793 6.77457917070438 6.84533004185442 6.33318280946758 6.59226891688145 6.06552084001165 6.60497967542975
"77" 6.75277241706428 6.90883728942052 6.78345498029853 6.57225869807018 6.7188787772095 7.0393844712264 7.36358448824083
"78" 7.18139290952459 6.67404632283773 7.89080773456624 6.03906424795704 6.72002775992745 7.38851530775815 7.0670452703722
"79" 7.23976595207492 6.46393624831846 7.11873654235815 6.65975138187711 6.24718039275913 6.88423437992851 6.7316463630056
"80" 7.00660164113881 6.35897910874844 6.68104764726367 6.74966701914006 6.89480453276212 7.0192942976605 6.81147358830958
"81" 7.17943395755652 6.99395265343986 6.9906935431036 7.05040603166691 6.94383745267763 6.98640541680659 7.38802993461087
"82" 7.32138822188557 6.85203110579996 8.23534999479802 7.48882109527942 6.74618820462264 7.14352953961507 7.12012700656692
"83" 6.15458206762707 6.16827192330848 6.34123869637294 6.68987339743613 6.74027539276601 6.72459811743697 6.44056078122139
"84" 7.15612375690789 6.38746276650164 7.09784744721512 6.60701316169408 6.94500710346946 6.80412061547469 7.42128118676805
"85" 7.00014548366017 7.58363758935128 7.63737629572052 7.36246897428688 6.88266868179362 6.81317332819352 6.81971503622445
"86" 7.24257748632147 7.33291109416071 6.96822144726173 6.46130108121594 6.79456029889049 7.28490850615959 7.55177858335951
"87" 7.32086345000071 7.10141472154196 7.52492275640756 7.47019928966155 6.81493952917656 6.92840828376638 7.33378632714571
"88" 7.25990595637251 7.25785678442032 6.52792754053957 6.4397920397793 6.71700092719961 7.19528111405521 7.27813202509863
